stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"1100133","Herrenschwand, Ort","47.76765751","7.95303674","","Parent1100133"
"1100134","Herrenschwand, Milchhäusle","47.77568733","7.96766131","","Parent1100134"
"1100135","Degerfelden, Sägemühle","47.57775138","7.73161999","","Parent1100135"
"1100136","Degerfelden, Hagenbach","47.58852483","7.72858368","","Parent1100136"
"1100137","Inzlingen, Waidhof","47.60050149","7.70255050","","Parent1100137"
"1100138","Lörrach, Ufhabiweg","47.60968356","7.67508901","","Parent1100138"
"1100139","Lörrach, Wallbrunnstrasse","47.60976835","7.67021115","","Parent1100139"
"1100140","Lörrach, Engelplatz","47.61052537","7.66459668","","Parent1100140"
"1100141","Lörrach, Kinderspielplatz","47.61314156","7.66657298","","Parent1100141"
"1100142","Lörrach, Untereckstrasse","47.61618756","7.67005844","","Parent1100142"
"1100143","Endenburg, Rathaus","47.71302790","7.73619241","","Parent1100143"
"1100144","Endenburg, Schule","47.71221797","7.74328012","","Parent1100144"
"1100145","Kirchhausen (Kr LÖ)","47.71365650","7.75645840","","Parent1100145"
"1100146","Steinen (Kr LÖ), Lehnacker","47.71069477","7.76112964","","Parent1100146"
"1100147","Aitern, Belchenbahn Talstation","47.82146982","7.85085338","","Parent1100147"
"1100148","Hofen (Kr LÖ), Im Steinenberg","47.69439616","7.74601998","","Parent1100148"
"1100149","Hofen (Kr LÖ), Pflug","47.69234638","7.74809509","","Parent1100149"
"1100150","Schlächtenhaus, Schule","47.68985509","7.74233689","","Parent1100150"
"1100151","Schlächtenhaus","47.69049607","7.73824955","","Parent1100151"
"1100152","Hofen (Kr LÖ), Kirche","47.68931086","7.74922697","","Parent1100152"
"1100153","Weitenau (Baden), Vogelpark","47.68584581","7.75738367","","Parent1100153"
"1100154","Weitenau (Baden), Schule","47.67776584","7.76590868","","Parent1100154"
"1100155","Weitenau (Baden), Aussendorf","47.67122111","7.75781486","","Parent1100155"
"1100156","Steinen (Kr LÖ), Kandernerstr.","47.64769687","7.74275011","","Parent1100156"
"1100157","Steinen (Kr LÖ), Schule","47.64312753","7.74326215","","Parent1100157"
"1100158","Steinen (Kr LÖ), Bahnhof","47.64183231","7.74121399","","Parent1100158"
"1100159","Steinen (Kr LÖ), Rathaus","47.64254650","7.74099840","","Parent1100159"
"1100160","Utzenfeld, Königshütte","47.82031173","7.89791611","","Parent1100160"
"1100161","Utzenfeld, Finstergrund","47.83108342","7.89692797","","Parent1100161"
"1100162","Wieden (Schw), Wiedenmatt","47.83992949","7.89318199","","Parent1100162"
"1100163","Wieden (Schw), Hirschen","47.84160568","7.88114457","","Parent1100163"
"1100164","Wieden (Schw), Hüttbach Rütte","47.84484333","7.88531275","","Parent1100164"
"1100165","Wieden (Schw), Ungendwieden","47.84398721","7.89159197","","Parent1100165"
"1100166","Wieden (Schw), Wiedenrütte","47.84633849","7.88748667","","Parent1100166"
"1100167","Wieden (Schw), Wiedener Eck","47.84472878","7.86688830","","Parent1100167"
"1100168","Wieden (Schw), Skilift/Holzpl.","47.83653476","7.86893646","","Parent1100168"
"1100169","Wieden (Schw), Hohtann","47.82969637","7.85899211","","Parent1100169"
"1100170","Aitern, Obermulten","47.82302597","7.85449155","","Parent1100170"
"1100171","Aitern, Multen","47.82146982","7.85085338","","Parent1100171"
"1100172","Aitern, Holzinshaus","47.80911548","7.88146796","","Parent1100172"
"1100173","Aitern, Rössle","47.80267775","7.89588592","","Parent1100173"
"1100174","Aitern, Am Schadenrain","47.80138649","7.89938935","","Parent1100174"
"1100175","Schopfheim, Dreistern","47.64474954","7.81641197","","Parent1100175"
"1100176","Wiechs (LÖ), Post","47.63561600","7.81288159","","Parent1100176"
"1100177","Wiechs (LÖ), An der Halden","47.63283749","7.81226175","","Parent1100177"
"1100178","Herrenschwand, Hochkopfhaus","47.76242841","7.97580005","","Parent1100178"
"1100179","Todtnau, Präg Hinterdorf","47.82678949","7.97278171","","Parent1100179"
"1100180","Wiechs (LÖ), Rebacker","47.63682664","7.81535195","","Parent1100180"
"1100181","Wiechs (LÖ), Am Rain","47.63253482","7.81307023","","Parent1100181"
"1100182","Schopfheim, Ebertschule","47.65109789","7.82791040","","Parent1100182"
"1100183","Todtmoos, Schule","47.73355018","8.00316273","","Parent1100183"
"1100184","Endenburg, Oberdorf","47.70999964","7.73294949","","Parent1100184"
"1100185","Kandern, Platzhof Jugendherb.","47.70077474","7.71273740","","Parent1100185"
"1100186","Kandern, Scheideck","47.70179645","7.70512867","","Parent1100186"
"1100187","Wieslet, Schule","47.68870011","7.79720599","","Parent1100187"
"1100188","Weitenau (Baden), Fahrnbuck","47.68382593","7.77206214","","Parent1100188"
"1100189","Weitenau (Baden), Schillighof","47.68507778","7.77917680","","Parent1100189"
"1100190","Tegernau (Bd), Niedertegernau","47.70306601","7.79923618","","Parent1100190"
"1100191","Tegernau (Baden)","47.71950695","7.79429544","","Parent1100191"
"1100192","Steinen (Kr LÖ), Kirchstrasse","47.64434404","7.73920177","","Parent1100192"
"1100193","Steinen (Kr LÖ),Steinenbachbr.","47.64741848","7.73896821","","Parent1100193"
"1100194","Hägelberg, Untere Dorfstrasse","47.65904283","7.72805368","","Parent1100194"
"1100195","Hägelberg, Mittlere Dorfstasse","47.66208010","7.72858368","","Parent1100195"
"1100196","Steinen (Kr LÖ), Hüsingen","47.63149964","7.74147451","","Parent1100196"
"1100197","Höllstein (D), Friedrichstr.","47.64042811","7.74809509","","Parent1100197"
"1100198","Höllstein (D), Neue Strasse","47.64019205","7.75333227","","Parent1100198"
"1100199","Höllstein (D), Schule","47.63916308","7.74817594","","Parent1100199"
